SPEC,TYPE,TYPE_CODE,ORDER,DESCRIPTION,SHORT_DESCRIPTION,FIRST_SIZE,FIRST_SIZE_NUMBER,SECOND_SIZE,SECOND_SIZE_NUMBER,SCH,FACE,RATING,WEIGHT,AREA,TAG,SUPPLY_CODE,SUPPLY_TITLE,SUPPLY_DESCRIPTION
CS1SC2,PP,PE,1,-,-,"1/2""",0.5,-,-,80,PE,-,1.62,21.3,-,,,
CS1SC2,PP,PE,1,-,-,"3/4""",0.75,-,-,80,PE,-,2.2,26.7,-,,,
CS1SC2,PP,PE,1,-,-,"1""",1,-,-,80,PE,-,3.24,33.4,-,,,
CS1SC2,PP,PE,1,-,-,"1-1/2""",1.5,-,-,80,PE,-,5.41,48.3,-,,,
CS1SC2,PP,BE,1,-,-,"2""",2,-,-,40,BE,-,5.44,60.3,-,,,
CS1SC2,PP,BE,1,-,-,"3""",3,-,-,40,BE,-,11.29,88.9,-,,,
CS1SC2,PP,BE,1,-,-,"4""",4,-,-,40,BE,-,16.08,114.3,-,,,
CS1SC2,PP,BE,1,-,-,"6""",6,-,-,40,BE,-,28.26,168.3,-,,,
CS1SC2,PP,BE,1,-,-,"8""",8,-,-,20,BE,-,33.32,219.1,-,,,
CS1SC2,PP,BE,1,-,-,"10""",10,-,-,30,BE,-,51.01,273.1,-,,,
CS1SC2,PP,BE,1,-,-,"12""",12,-,-,30,BE,-,65.19,323.9,-,,,
CS1SC2,PP,BE,1,-,-,"14""",14,-,-,30,BE,-,81.33,355.6,-,,,
CS1SC2,PP,BE,1,-,-,"16""",16,-,-,40,BE,-,123.31,406.4,-,,,
CS1SC2,PP,BE,1,-,-,"18""",18,-,-,30,BE,-,122.38,457,-,,,
CS1SC2,PP,BE,1,-,-,"20""",20,-,-,30,BE,-,155.13,508,-,,,
CS1SC2,PP,BE,1,-,-,"24""",24,-,-,30,BE,-,209.65,610,-,,,
CS1SC2,FL,SW,3,"ASTM A105, Socketweld Flange, ASME B16.5, FF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF","1/2""",0.5,-,-,-,FF,150,0.8,0,-,,,
CS1SC2,FL,SW,3,"ASTM A105, Socketweld Flange, ASME B16.5, FF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF","3/4""",0.75,-,-,-,FF,150,0.9,0,-,,,
CS1SC2,FL,SW,3,"ASTM A105, Socketweld Flange, ASME B16.5, FF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF","1""",1,-,-,-,FF,150,0.9,0,-,,,
CS1SC2,FL,SW,3,"ASTM A105, Socketweld Flange, ASME B16.5, FF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF","1-1/2""",1.5,-,-,-,FF,150,1.4,0,-,,,
CS1SC2,FL,WNK,3,-,-,"2""",2,-,-,40,RF,150,2.55,0,-,,,
CS1SC2,FL,WNK,3,-,-,"3""",3,-,-,40,RF,150,4.97,0,-,,,
CS1SC2,FL,WNK,3,-,-,"4""",4,-,-,40,RF,150,7.11,0,-,,,
CS1SC2,FL,WNK,3,-,-,"6""",6,-,-,40,RF,150,10.91,0,-,,,
CS1SC2,FL,WNK,3,-,-,"8""",8,-,-,20,RF,150,17.3,0,-,,,
CS1SC2,FL,WNK,3,-,-,"10""",10,-,-,30,RF,150,23.57,0,-,,,
CS1SC2,FL,WNK,3,-,-,"12""",12,-,-,30,RF,150,37.42,0,-,,,
CS1SC2,FL,WNK,3,-,-,"14""",14,-,-,30,RF,150,50.49,0,-,,,
CS1SC2,FL,WNK,3,-,-,"16""",16,-,-,40,RF,150,65.43,0,-,,,
CS1SC2,FL,WNK,3,-,-,"18""",18,-,-,30,RF,150,72.99,0,-,,,
CS1SC2,FL,WNK,3,-,-,"20""",20,-,-,30,RF,150,93.12,0,-,,,
CS1SC2,FL,WNK,3,-,-,"24""",24,-,-,30,RF,150,129.5,0,-,,,
CS1SC2,FL,BLD,3,-,-,"1/2""",0.5,-,-,-,RF,150,0.9,0,-,,,
CS1SC2,FL,BLD,3,-,-,"3/4""",0.75,-,-,-,RF,150,0.9,0,-,,,
CS1SC2,FL,BLD,3,-,-,"1""",1,-,-,-,RF,150,0.9,0,-,,,
CS1SC2,FL,BLD,3,-,-,"1-1/2""",1.5,-,-,-,RF,150,1.8,0,-,,,
CS1SC2,FL,BLD,3,-,-,"2""",2,-,-,-,RF,150,2.3,0,-,,,
CS1SC2,FL,BLD,3,-,-,"3""",3,-,-,-,RF,150,4.1,0,-,,,
CS1SC2,FL,BLD,3,-,-,"4""",4,-,-,-,RF,150,7.7,0,-,,,
CS1SC2,FL,BLD,3,-,-,"6""",6,-,-,-,RF,150,11.8,0,-,,,
CS1SC2,FL,BLD,3,-,-,"8""",8,-,-,-,RF,150,20.5,0,-,,,
CS1SC2,FL,BLD,3,-,-,"10""",10,-,-,-,RF,150,32,0,-,,,
CS1SC2,FL,BLD,3,-,-,"12""",12,-,-,-,RF,150,50,0,-,,,
CS1SC2,FL,BLD,3,-,-,"14""",14,-,-,-,RF,150,64,0,-,,,
CS1SC2,FL,BLD,3,-,-,"16""",16,-,-,-,RF,150,82,0,-,,,
CS1SC2,FL,BLD,3,-,-,"18""",18,-,-,-,RF,150,100,0,-,,,
CS1SC2,FL,BLD,3,-,-,"20""",20,-,-,-,RF,150,130,0,-,,,
CS1SC2,FL,BLD,3,-,-,"24""",24,-,-,-,RF,150,196,0,-,,,
CS1SC2,FT,45L,2,-,-,"1/2""",0.5,-,-,-,SW,3000,0.13,0,-,,,
CS1SC2,FT,45L,2,-,-,"3/4""",0.75,-,-,-,SW,3000,0.21,0,-,,,
CS1SC2,FT,45L,2,-,-,"1""",1,-,-,-,SW,3000,0.34,0,-,,,
CS1SC2,FT,45L,2,-,-,"1-1/2""",1.5,-,-,-,SW,3000,0.86,0,-,,,
CS1SC2,FT,45L,2,-,-,"2""",2,-,-,40,BW,-,0.32,0,-,,,
CS1SC2,FT,45L,2,-,-,"3""",3,-,-,40,BW,-,1.02,0,-,,,
CS1SC2,FT,45L,2,-,-,"4""",4,-,-,40,BW,-,1.95,0,-,,,
CS1SC2,FT,45L,2,-,-,"6""",6,-,-,40,BW,-,5.1,0,-,,,
CS1SC2,FT,45L,2,-,-,"8""",8,-,-,20,BW,-,9,0,-,,,
CS1SC2,FT,45L,2,-,-,"10""",10,-,-,30,BW,-,19.65,0,-,,,
CS1SC2,FT,45L,2,-,-,"12""",12,-,-,30,BW,-,26.03,0,-,,,
CS1SC2,FT,45L,2,-,-,"14""",14,-,-,30,BW,-,34,0,-,,,
CS1SC2,FT,45L,2,-,-,"16""",16,-,-,40,BW,-,62.37,0,-,,,
CS1SC2,FT,45L,2,-,-,"18""",18,-,-,30,BW,-,69.91,0,-,,,
CS1SC2,FT,45L,2,-,-,"20""",20,-,-,30,BW,-,97.16,0,-,,,
CS1SC2,FT,45L,2,-,-,"24""",24,-,-,30,BW,-,159.35,0,-,,,
CS1SC2,FT,90L,2,-,-,"1/2""",0.5,-,-,-,SW,3000,0.15,0,-,,,
CS1SC2,FT,90L,2,-,-,"3/4""",0.75,-,-,-,SW,3000,0.24,0,-,,,
CS1SC2,FT,90L,2,-,-,"1""",1,-,-,-,SW,3000,0.35,0,-,,,
CS1SC2,FT,90L,2,-,-,"1-1/2""",1.5,-,-,-,SW,3000,0.96,0,-,,,
CS1SC2,FT,90L,2,-,-,"2""",2,-,-,40,BW,-,0.65,0,-,,,
CS1SC2,FT,90L,2,-,-,"3""",3,-,-,40,BW,-,2.03,0,-,,,
CS1SC2,FT,90L,2,-,-,"4""",4,-,-,40,BW,-,3.9,0,-,,,
CS1SC2,FT,90L,2,-,-,"6""",6,-,-,40,BW,-,10.2,0,-,,,
CS1SC2,FT,90L,2,-,-,"8""",8,-,-,20,BW,-,16.57,0,-,,,
CS1SC2,FT,90L,2,-,-,"10""",10,-,-,30,BW,-,31.3,0,-,,,
CS1SC2,FT,90L,2,-,-,"12""",12,-,-,30,BW,-,46.06,0,-,,,
CS1SC2,FT,90L,2,-,-,"14""",14,-,-,30,BW,-,68,0,-,,,
CS1SC2,FT,90L,2,-,-,"16""",16,-,-,40,BW,-,124.75,0,-,,,
CS1SC2,FT,90L,2,-,-,"18""",18,-,-,30,BW,-,139.83,0,-,,,
CS1SC2,FT,90L,2,-,-,"20""",20,-,-,30,BW,-,194.3,0,-,,,
CS1SC2,FT,90L,2,-,-,"24""",24,-,-,30,BW,-,318.7,0,-,,,
CS1SC2,FT,CAP,2,-,-,"1/2""",0.5,-,-,-,SW,3000,0.09,0,-,,,
CS1SC2,FT,CAP,2,-,-,"3/4""",0.75,-,-,-,SW,3000,0.14,0,-,,,
CS1SC2,FT,CAP,2,-,-,"1""",1,-,-,-,SW,3000,0.22,0,-,,,
CS1SC2,FT,CAP,2,-,-,"1-1/2""",1.5,-,-,-,SW,3000,0.57,0,-,,,
CS1SC2,FT,CAP,2,-,-,"2""",2,-,-,40,BW,-,0.3,0,-,,,
CS1SC2,FT,CAP,2,-,-,"3""",3,-,-,40,BW,-,0.7,0,-,,,
CS1SC2,FT,CAP,2,-,-,"4""",4,-,-,40,BW,-,1.6,0,-,,,
CS1SC2,FT,CAP,2,-,-,"6""",6,-,-,40,BW,-,3.6,0,-,,,
CS1SC2,FT,CAP,2,-,-,"8""",8,-,-,20,BW,-,4.5,0,-,,,
CS1SC2,FT,CAP,2,-,-,"10""",10,-,-,30,BW,-,7.63,0,-,,,
CS1SC2,FT,CAP,2,-,-,"12""",12,-,-,30,BW,-,13,0,-,,,
CS1SC2,FT,CAP,2,-,-,"14""",14,-,-,30,BW,-,17,0,-,,,
CS1SC2,FT,CAP,2,-,-,"16""",16,-,-,40,BW,-,30,0,-,,,
CS1SC2,FT,CAP,2,-,-,"18""",18,-,-,30,BW,-,30.3,0,-,,,
CS1SC2,FT,CAP,2,-,-,"20""",20,-,-,30,BW,-,49,0,-,,,
CS1SC2,FT,CAP,2,-,-,"24""",24,-,-,30,BW,-,74.5,0,-,,,
CS1SC2,FT,TEE,2,-,-,"1/2""",0.5,-,-,-,SW,3000,0.2,0,-,,,
CS1SC2,FT,TEE,2,-,-,"3/4""",0.75,-,-,-,SW,3000,0.33,0,-,,,
CS1SC2,FT,TEE,2,-,-,"1""",1,-,-,-,SW,3000,0.53,0,-,,,
CS1SC2,FT,TEE,2,-,-,"1-1/2""",1.5,-,-,-,SW,3000,1.35,0,-,,,
CS1SC2,FT,TEE,2,-,-,"2""",2,-,-,40,BW,-,1.9,0,-,,,
CS1SC2,FT,TEE,2,-,-,"3""",3,-,-,40,BW,-,4.5,0,-,,,
CS1SC2,FT,TEE,2,-,-,"4""",4,-,-,40,BW,-,8.44,0,-,,,
CS1SC2,FT,TEE,2,-,-,"6""",6,-,-,40,BW,-,19.3,0,-,,,
CS1SC2,FT,TEE,2,-,-,"8""",8,-,-,20,BW,-,29,0,-,,,
CS1SC2,FT,TEE,2,-,-,"10""",10,-,-,30,BW,-,36.77,0,-,,,
CS1SC2,FT,TEE,2,-,-,"12""",12,-,-,30,BW,-,61.74,0,-,,,
CS1SC2,FT,TEE,2,-,-,"14""",14,-,-,30,BW,-,93,0,-,,,
CS1SC2,FT,TEE,2,-,-,"16""",16,-,-,40,BW,-,249,0,-,,,
CS1SC2,FT,TEE,2,-,-,"18""",18,-,-,30,BW,-,181.14,0,-,,,
CS1SC2,FT,TEE,2,-,-,"20""",20,-,-,30,BW,-,265,0,-,,,
CS1SC2,FT,TEE,2,-,-,"24""",24,-,-,30,BW,-,443.55,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","2""",2,"1/2""",0.5,-,SW,3000,0.14,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","2""",2,"3/4""",0.75,-,SW,3000,0.15,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","2""",2,"1""",1,-,SW,3000,0.27,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","2""",2,"1-1/2""",1.5,-,SW,3000,0.47,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","3""",3,"1/2""",0.5,-,SW,3000,0.14,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","3""",3,"3/4""",0.75,-,SW,3000,0.15,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","3""",3,"1""",1,-,SW,3000,0.27,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","3""",3,"1-1/2""",1.5,-,SW,3000,0.47,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","4""",4,"1/2""",0.5,-,SW,3000,0.14,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","4""",4,"3/4""",0.75,-,SW,3000,0.15,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","4""",4,"1""",1,-,SW,3000,0.27,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","4""",4,"1-1/2""",1.5,-,SW,3000,0.47,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","6""",6,"1/2""",0.5,-,SW,3000,0.14,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","6""",6,"3/4""",0.75,-,SW,3000,0.15,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","6""",6,"1""",1,-,SW,3000,0.27,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","6""",6,"1-1/2""",1.5,-,SW,3000,0.47,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","8""",8,"1/2""",0.5,-,SW,3000,0.14,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","8""",8,"3/4""",0.75,-,SW,3000,0.15,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","8""",8,"1""",1,-,SW,3000,0.27,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","8""",8,"1-1/2""",1.5,-,SW,3000,0.47,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","10""",10,"1/2""",0.5,-,SW,3000,0.14,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","10""",10,"3/4""",0.75,-,SW,3000,0.15,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","10""",10,"1""",1,-,SW,3000,0.27,0,-,,,
CS1SC2,FT,SOL,2,"ASTM A105, Sockolet, MSS SP-97, SW Ends, Branch: 1/2"" - 1 1/2""","SOCK-O-LET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000","10""",10,"1-1/2""",1.5,-,SW,3000,0.47,0,-,,,
